,beta,volume_10_day,c,o,adx,signal,trending,shareOutstanding,bearish,bullish
GRWG,3.12335,3.63656,49.84,48.16,74.07754279685616,buy,True,36.88,0.0,1.0
SNAP,1.29161,19.07045,53.57,53.9,62.976763668201976,strong buy,True,1415.8,0.0,1.0
PLUG,1.71386,77.23934,66.87,62.3,59.676548541236,strong buy,True,303.38,0.25,0.75
DAR,1.28887,1.37371,66.78,66.69,58.78645771789809,buy,True,163.78,0.5,0.5
GME,1.37064,34.07252,65.01,42.59,57.857005360044745,strong buy,True,64.3,0.8,0.2
TSLA,2.1157,43.80479,846.64,834.31,56.34168790706297,buy,True,905,0.1539,0.8461
ROKU,1.95563,5.58816,422.85,422,54.301019761769744,buy,True,119.9,0.0,1.0
SHAK,1.73,1.08799,111.21,107.26,47.741585149507905,strong buy,True,37.56,0.5,0.5
NVDA,1.40356,8.66204,548.5,549.6035,46.849504370219606,buy,True,613,0.0,1.0
AMD,2.19114,50.01342,92.79,94.42,43.16927579863329,buy,True,1170,0.25,0.75
SQ,2.58165,9.14422,222.88,219,42.632426284122616,buy,True,432.8,0.0,1.0
F,1.23697,88.08976,11.52,11.66,42.10199689060732,strong buy,True,4082,0.0667,0.9333
QCOM,1.3447,7.39675,162.42,164,41.88743759254178,buy,True,1131,0.0,1.0
GM,1.39498,28.97006,55.4,54.5,41.418633074566934,buy,True,1400,0.0,1.0
TXN,1.06352,4.29441,172.81,174.49,41.109410455030385,buy,True,932.03,0.0,1.0
GE,1.08751,77.21625,11.11,10.97,40.98957694534581,buy,True,8738.43,0.0,1.0
MU,1.26457,24.68311,82.28,84.08,40.12542496500272,buy,True,1113,0.0,1.0
DFS,1.76691,2.78908,92.27,93.56,39.80265354543896,buy,True,307,0.0,1.0
ISR,1.51579,50.09557,2.24,2.31,37.12270161695685,buy,True,68.9,0.5,0.5
LUV,1.19432,6.89892,47.39,47.18,35.85184815196147,buy,True,519.06,0.0,1.0
CURLF,1.58976,1.58927,15.07,14.98,35.62643737648582,buy,True,470.09,0.5,0.5
CGC,2.36008,1.68735,33.8,33.15,35.41861806454833,strong buy,True,350.11,0.5,0.5
PYPL,1.13454,6.8251,252,246.65,34.90133923648886,strong buy,True,1173,0.0,1.0
AVGO,1.04776,1.64146,465.02,463.7235,34.605832671964734,buy,True,407,0.5,0.5
DIS,1.17671,8.31942,172.78,174,34.387485078350245,buy,True,1781,0.125,0.875
DRI,1.51287,1.32557,121.98,124.02,34.034969389224536,buy,True,129.9,0.0,1.0
AMZN,1.14944,3.52276,3292.23,3304.31,33.20557528654191,buy,True,498,0.1725,0.8275
CRON,2.16141,1.19001,10.65,10.6,33.00914517186881,buy,True,348.82,0.5,0.5
AMAT,1.4689,8.45983,106.33,108.0532,32.92825375782395,buy,True,914,0.5,0.5
BAC,1.55241,62.20462,31.55,31.36,32.280094590181406,buy,True,8650.81,0.0625,0.9375
AAPL,1.26888,104.12757,139.07,136.28,32.17449471250762,strong buy,True,16976.76,0.1924,0.8076
DD,1.67521,15.74439,81.09,80,31.103233518123204,buy,True,738.56,0.5,0.5
MS,1.5111,12.33978,74.13,72.55,30.26564514464701,buy,True,0,0.0,1.0
GS,1.48588,4.10631,289.39,286.69,28.928371772849022,buy,True,344.07,0.0,1.0
MRO,3.32941,35.31295,8.15,8.06,28.809356671950802,neutral,True,796,0.5,0.5
JACK,1.73482,0.27103,101.71,98.86,28.542664671905932,buy,True,22.72,0.0,1.0
CMG,1.3119,0.26181,1494.18,1492.32,28.090129025462726,buy,True,27.75,0.0,1.0
OXY,2.45587,26.21254,21.49,20.67,27.19313973422112,buy,True,894.11,0.5,0.5
JBLU,1.59281,8.63605,15.29,15.07,27.161708706078233,buy,True,282,0.5,0.5
HLT,1.26807,2.28886,104.96,107.51,26.931500598826716,buy,True,278.99,0.5,0.5
GOOS,1.55383,0.33756,32,31.42,26.862356088614007,buy,True,110,1.0,0.0
JPM,1.19947,18.77054,133.79,132.69,26.71351654035363,buy,True,3049.4,0.2667,0.7333
SAVE,1.69041,4.35489,27.67,26.8,25.746811049229024,buy,True,68.46,0.0,1.0
GDOT,1.02053,0.7297,54.48,56.53,24.768704014129572,neutral,False,51.81,0.5,0.5
HAL,2.89179,13.11941,19.24,18.9,23.99914863334506,buy,False,884.01,0.0,1.0
XOM,1.39414,34.57011,47.43,47.01,23.537356603801634,buy,False,4234,0.875,0.125
AAL,1.84707,55.48026,15.82,15.57,23.34180499454774,buy,False,428.2,0.5,0.5
COP,1.82339,12.96805,42.69,42.06,21.83418784454255,buy,False,1084.87,0.0,1.0
PSX,1.70234,3.35282,72.55,71.7,21.67102267611413,buy,False,441.03,0.0,1.0
MAR,1.83804,2.20175,122.9,125.27,21.147078771230998,buy,False,324,0.0,1.0
YUM,1.09614,1.50733,107.09,107.36,21.0393564761475,buy,False,300,0.5,0.5
CVX,1.34117,11.28278,91.73,90.4,20.780572416542945,buy,False,1882.17,0.5,0.5
LOW,1.36445,4.08002,172.4,171.89,20.53418893105576,neutral,False,763,0.0,1.0
BA,1.61462,14.71303,205.84,205.55,20.424396328819284,buy,False,562.91,0.1429,0.8571
CCL,2.29597,33.69316,20.22,20.31,19.814835100505995,buy,False,684,0.0,1.0
DAL,1.42877,12.44117,40,40,19.67823056526416,buy,False,637.73,0.25,0.75
XRX,1.87889,2.05363,21.07,20.54,19.25105020262518,neutral,False,212.59,0.5,0.5
AXP,1.26424,4.24376,126.14,125.74,17.427025830820426,buy,False,810,0.2,0.8
SIRI,1.11301,34.8416,5.97,5.96,16.644257576150203,buy,False,4412,0.5,0.5
PCG,1.37261,11.82784,11.72,11.96,15.993210507843461,buy,False,529.24,1.0,0.0
FB,1.26185,21.47233,274.5,272.01,15.287326736524635,neutral,False,2852,0.4286,0.5714
RCL,2.85363,3.22617,71.96,71.67,14.435389030728254,buy,False,208.8,1.0,0.0
LULU,1.35407,1.43478,346.37,349.15,14.395801571908278,buy,False,136.58,0.0,1.0
HD,1.02547,4.18555,284,279.26,12.719571534588024,buy,False,1077,0.0,1.0
QSR,1.30174,0.66141,60.08,60.29,12.374327225707868,buy,False,298.28,1.0,0.0
GD,1.036,1.55717,152.77,150.41,10.970339589621949,buy,False,289.61,0.0,1.0
MA,1.17427,4.6079,328.99,330.39,9.8801560761158,neutral,False,1007,0.0,1.0
